TYPE     M_V      BC   L(L_sol)       B-V
O3    -5.8       -4   6.668e+05    -0.32
O5    -5.2     -3.8   3.192e+05    -0.32
O8    -4.3     -3.3    8.79e+04    -0.32
B0    -3.7       -3   3.837e+04     -0.3
B3    -1.4     -1.6        1271    -0.18
B6      -1     -1.2       608.1    -0.14
B8   -0.25     -0.8       210.9    -0.11
A0     0.8     -0.3       50.58        0
A5     1.8     -0.1       16.75     0.19
F0     2.4     -0.1       9.638     0.32
F5     3.3     -0.1       4.207     0.41
G0     4.2     -0.2       2.014     0.59
Sun    4.83    -0.07           1     0.65
K0     5.9     -0.4      0.5058     0.84
K5     7.5     -0.6      0.1393     1.08
K7     8.3       -1     0.09638     1.32
M0     8.9     -1.2     0.06668     1.41
M2    11.2     -1.7     0.01271      1.5
M4    12.7     -2.7    0.008017      1.6
